"CRASH_ID","UNIT_NBR","PRSN_NBR","PRSN_TYPE_ID","PRSN_OCCPNT_POS_ID","PRSN_INJRY_SEV_ID","PRSN_AGE","PRSN_ETHNICITY_ID","PRSN_GNDR_ID","PRSN_EJCT_ID","PRSN_REST_ID","PRSN_AIRBAG_ID","PRSN_HELMET_ID","PRSN_SOL_FL","PRSN_ALC_SPEC_TYPE_ID","PRSN_ALC_RSLT_ID","PRSN_BAC_TEST_RSLT","PRSN_DRG_SPEC_TYPE_ID","PRSN_DRG_RSLT_ID","DRVR_DRG_CAT_1_ID","PRSN_DEATH_TIME","INCAP_INJRY_CNT","NONINCAP_INJRY_CNT","POSS_INJRY_CNT","NON_INJRY_CNT","UNKN_INJRY_CNT","TOT_INJRY_CNT","DEATH_CNT","DRVR_LIC_TYPE_ID","DRVR_LIC_STATE_ID","DRVR_LIC_CLS_ID","DRVR_ZIP"
14838866,1,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",44,"WHITE","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","76705"
14838877,1,1,"DRIVER","FRONT LEFT","NOT INJURED",39,"WHITE","MALE","NO","NONE","NOT DEPLOYED","NOT APPLICABLE","N","BLOOD","Positive",0.21,"BLOOD","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","76247"
14838972,1,1,"DRIVER","FRONT LEFT","NOT INJURED",59,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78578"
14838972,2,1,"DRIVER","FRONT LEFT","NOT INJURED",19,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75067"
14838977,1,1,"DRIVER","FRONT LEFT","NOT INJURED",21,"WHITE","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78751"
14839046,1,1,"DRIVER","FRONT LEFT","NOT INJURED",42,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78259"
14839046,2,1,"DRIVER","FRONT LEFT","NOT INJURED",NA,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78230"
14839047,1,1,"DRIVER","FRONT LEFT","NOT INJURED",35,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH","Positive",0.143,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","76101"
14839048,1,1,"DRIVER","FRONT LEFT","NOT INJURED",30,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH","Positive",0.14,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","76010"
14839097,1,1,"DRIVER","FRONT LEFT","NOT INJURED",22,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78744"
14839097,2,1,"DRIVER","FRONT LEFT","NOT INJURED",42,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","78254"
14839097,3,1,"DRIVER","FRONT LEFT","NOT INJURED",26,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS A","78240"
14839100,1,1,"DRIVER","FRONT LEFT","NOT INJURED",23,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78220"
14839100,2,1,"DRIVER","FRONT LEFT","NOT INJURED",55,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","78227"
14839166,1,1,"DRIVER","FRONT LEFT","NOT INJURED",24,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"UNLICENSED",NA,"UNLICENSED","78247"
14839211,1,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",52,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","78207"
14839211,2,1,"DRIVER","FRONT LEFT","NOT INJURED",30,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78237"
14839233,1,1,"DRIVER","FRONT LEFT","UNKNOWN",19,"WHITE","MALE","NO","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,0,1,0,0,"DRIVER LICENSE","Texas","CLASS C","78146"
14839240,1,1,"DRIVER","FRONT LEFT","NOT INJURED",24,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","77083"
14839240,2,1,"DRIVER","FRONT LEFT","NOT INJURED",22,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75668"
14839240,3,1,"DRIVER","FRONT LEFT","NOT INJURED",19,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77459"
14839272,1,1,"DRIVER","FRONT LEFT","NOT INJURED",21,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75707"
14839272,2,1,"DRIVER","FRONT LEFT","NOT INJURED",35,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75709"
14839307,1,1,"DRIVER","FRONT LEFT","NOT INJURED",30,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BLOOD","Positive",0.14,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78660"
14839307,2,1,"DRIVER","FRONT LEFT","NOT INJURED",23,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78734"
14839314,1,1,"DRIVER","FRONT LEFT","NOT INJURED",29,"WHITE","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77373"
14839330,1,1,"DRIVER","FRONT LEFT","NOT INJURED",44,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78230"
14839342,1,1,"DRIVER","FRONT LEFT","NOT INJURED",25,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78745"
14839342,2,1,"DRIVER","FRONT LEFT","NOT INJURED",29,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75043"
14839343,1,1,"DRIVER","FRONT LEFT","NOT INJURED",NA,"UNKNOWN","UNKNOWN","NO","UNKNOWN","NOT APPLICABLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"UNKNOWN","Unknown","UNKNOWN",""
14839343,2,1,"DRIVER","FRONT LEFT","NOT INJURED",23,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"OTHER","Texas","UNLICENSED","78223"
14839345,1,1,"DRIVER","FRONT LEFT","NOT INJURED",18,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77520"
14839345,2,1,"DRIVER","FRONT LEFT","NOT INJURED",19,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","77521"
14839404,1,1,"DRIVER","FRONT LEFT","NOT INJURED",21,"ASIAN","FEMALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77099"
14839404,2,1,"DRIVER","FRONT LEFT","NON-INCAPACITATING INJURY",34,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","DEPLOYED, SIDE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,1,0,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","77070"
14839404,3,1,"DRIVER","FRONT LEFT","NOT INJURED",60,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77040"
14839435,1,1,"DRIVER","FRONT LEFT","NOT INJURED",20,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH","Positive",0.104,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78209"
14839442,1,1,"DRIVER","FRONT LEFT","NOT INJURED",30,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78202"
14839472,1,1,"DRIVER","FRONT LEFT","NOT INJURED",61,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77521"
14839510,1,1,"DRIVER","FRONT LEFT","NOT INJURED",58,"WHITE","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75143"
14839510,2,1,"DRIVER","FRONT LEFT","NOT INJURED",43,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75709"
14839517,1,1,"DRIVER","FRONT LEFT","NOT INJURED",55,"BLACK","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","BLOOD","Positive",0.233,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","75149"
14839519,1,1,"DRIVER","FRONT LEFT","NOT INJURED",26,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","DEPLOYED MULTIPLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78114"
14839551,1,1,"DRIVER","FRONT LEFT","NOT INJURED",21,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"UNLICENSED",NA,"UNLICENSED","78220"
14839561,1,1,"DRIVER","FRONT LEFT","NOT INJURED",27,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"UNLICENSED",NA,"UNLICENSED","75062"
14839615,1,1,"DRIVER","FRONT LEFT","NOT INJURED",33,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","78245"
14839615,2,1,"DRIVER","FRONT LEFT","NOT INJURED",20,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78245"
14839642,1,1,"DRIVER","FRONT LEFT","NOT INJURED",55,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77075"
14839642,2,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",34,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"COMMERCIAL DRIVER LIC.","Texas","CLASS B","77316"
14839675,1,1,"DRIVER","FRONT LEFT","NOT INJURED",18,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77372"
14839713,1,1,"DRIVER","FRONT LEFT","NOT INJURED",19,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77075"
14839713,2,1,"UNKNOWN","UNKNOWN","NOT INJURED",NA,"UNKNOWN","UNKNOWN","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,NA,NA,NA,""
14839721,1,1,"DRIVER","FRONT LEFT","NOT INJURED",55,"HISPANIC","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75038"
14839735,1,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",33,"WHITE","FEMALE","NO","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","77375"
14839735,2,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",49,"BLACK","MALE","NO","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"COMMERCIAL DRIVER LIC.","Texas","CLASS A","77493"
14839747,1,1,"DRIVER","FRONT LEFT","NOT INJURED",18,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75067"
14839747,2,1,"DRIVER","FRONT LEFT","NOT INJURED",46,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75287"
14839755,1,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",52,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","78219"
14839755,2,1,"DRIVER","FRONT LEFT","NOT INJURED",30,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78231"
14839761,1,1,"DRIVER","FRONT LEFT","NOT INJURED",33,"HISPANIC","MALE","NO","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78219"
14839783,1,1,"DRIVER","FRONT LEFT","NOT INJURED",60,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BLOOD",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75455"
14839807,1,1,"DRIVER","FRONT LEFT","NOT INJURED",46,"WHITE","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","78217"
